Iteration,Interp,Move,Total
1,0.299689,0.046888,0.346577
2,0.299644,0.046436,0.346080
3,0.318078,0.046990,0.365067
4,0.300549,0.046767,0.347316
5,0.300660,0.049673,0.350333
6,0.401056,0.052038,0.453093
7,0.347850,0.052087,0.399936
8,0.348412,0.052078,0.400491
9,0.347670,0.052230,0.399900
10,0.348218,0.052326,0.400544
