NX,NY,Points,Iterations,Threads,Avg_Time_Serial(s),Avg_Time_Parallel(s),Speedup
500,200,3600000,10,2,0.036197,0.019016,1.9035
500,200,3600000,10,4,0.036197,0.010614,3.4104
500,200,3600000,10,8,0.036197,0.011170,3.2407
500,200,3600000,10,16,0.036197,0.011365,3.1849
