NX,NY,Points,Iterations,Threads,Avg_Time_Serial(s),Avg_Time_Parallel(s),Speedup
500,200,20000000,10,2,0.200242,0.105132,1.9047
500,200,20000000,10,4,0.200242,0.064023,3.1277
500,200,20000000,10,8,0.200242,0.051097,3.9189
500,200,20000000,10,16,0.200242,0.045103,4.4396
