NX,NY,Points,Iterations,Threads,Avg_Time_Serial(s),Avg_Time_Parallel(s),Speedup
250,100,900000,10,2,0.007749,0.004306,1.7995
250,100,900000,10,4,0.007749,0.002558,3.0299
250,100,900000,10,8,0.007749,0.002416,3.2074
250,100,900000,10,16,0.007749,0.003195,2.4258
