NX,NY,Points,Iterations,Threads,Avg_Time_Serial(s),Avg_Time_Parallel(s),Speedup
1000,400,14000000,10,2,0.190927,0.099129,1.9260
1000,400,14000000,10,4,0.190927,0.056136,3.4012
1000,400,14000000,10,8,0.190927,0.071827,2.6582
1000,400,14000000,10,16,0.190927,0.189692,1.0065
