NX,NY,Points,Iterations,Threads,Avg_Time_Serial(s),Avg_Time_Parallel(s),Speedup
250,100,5000000,10,2,0.048309,0.026028,1.8561
250,100,5000000,10,4,0.048309,0.013553,3.5645
250,100,5000000,10,8,0.048309,0.013005,3.7146
250,100,5000000,10,16,0.048309,0.011147,4.3337
