Threads,Iter,Interp,Mover,Total
1,1,0.295619,0.191942,0.487562
1,2,0.296322,0.191538,0.487861
1,3,0.295532,0.191301,0.486833
1,4,0.295965,0.191952,0.487916
1,5,0.295497,0.191347,0.486843
1,6,0.295567,0.191936,0.487503
1,7,0.296047,0.191861,0.487909
1,8,0.295306,0.191537,0.486843
1,9,0.298185,0.191248,0.489433
1,10,0.295456,0.191221,0.486677
2,1,0.296217,0.093939,0.390156
2,2,0.296841,0.093820,0.390661
2,3,0.295751,0.094051,0.389802
2,4,0.295441,0.093889,0.389329
2,5,0.295766,0.093909,0.389675
2,6,0.295836,0.095002,0.390837
2,7,0.295860,0.094172,0.390032
2,8,0.298692,0.099983,0.398675
2,9,0.298481,0.099933,0.398414
2,10,0.298669,0.100011,0.398680
4,1,0.299477,0.052244,0.351722
4,2,0.299392,0.051686,0.351079
4,3,0.299432,0.052169,0.351601
4,4,0.299341,0.051695,0.351036
4,5,0.300674,0.051859,0.352533
4,6,0.300130,0.052081,0.352211
4,7,0.299691,0.051932,0.351623
4,8,0.299633,0.051960,0.351593
4,9,0.299949,0.052089,0.352038
4,10,0.299781,0.051913,0.351694
8,1,0.300187,0.031507,0.331694
8,2,0.299715,0.031172,0.330887
8,3,0.299819,0.031336,0.331155
8,4,0.299613,0.031352,0.330965
8,5,0.300252,0.031239,0.331491
8,6,0.301221,0.031227,0.332448
8,7,0.299691,0.031542,0.331233
8,8,0.299789,0.031404,0.331193
8,9,0.300186,0.031756,0.331942
8,10,0.299672,0.031313,0.330985
16,1,0.300937,0.034744,0.335681
16,2,0.372334,0.030550,0.402884
16,3,0.373625,0.034694,0.408319
16,4,0.299649,0.030430,0.330079
16,5,0.298966,0.034363,0.333328
16,6,0.375708,0.034805,0.410514
16,7,0.374213,0.036056,0.410269
16,8,0.303849,0.030527,0.334376
16,9,0.300891,0.034476,0.335366
16,10,0.300615,0.034503,0.335118
