Threads,Iter,Interp,Mover,Total
1,1,0.295666,0.209256,0.504922
1,2,0.296883,0.209796,0.506679
1,3,0.295831,0.208518,0.504349
1,4,0.296379,0.209586,0.505965
1,5,0.279093,0.196286,0.475379
1,6,0.279673,0.196646,0.476320
1,7,0.280030,0.195455,0.475485
1,8,0.278516,0.195499,0.474015
1,9,0.279808,0.195891,0.475699
1,10,0.278494,0.195734,0.474228
2,1,0.278218,0.101828,0.380046
2,2,0.278334,0.102344,0.380678
2,3,0.281121,0.101552,0.382674
2,4,0.279250,0.101382,0.380632
2,5,0.278687,0.101468,0.380155
2,6,0.278264,0.101586,0.379850
2,7,0.278427,0.101359,0.379786
2,8,0.278323,0.101614,0.379937
2,9,0.279453,0.101543,0.380996
2,10,0.279635,0.101479,0.381114
4,1,0.278398,0.052838,0.331236
4,2,0.278659,0.052794,0.331453
4,3,0.278232,0.052738,0.330969
4,4,0.278323,0.052686,0.331009
4,5,0.278288,0.052475,0.330763
4,6,0.278611,0.052595,0.331205
4,7,0.278371,0.052557,0.330929
4,8,0.278484,0.052634,0.331117
4,9,0.278268,0.052785,0.331054
4,10,0.278328,0.052487,0.330815
8,1,0.278395,0.031180,0.309575
8,2,0.278331,0.031236,0.309567
8,3,0.278536,0.031290,0.309826
8,4,0.278626,0.031183,0.309809
8,5,0.278321,0.029436,0.307757
8,6,0.279248,0.029384,0.308632
8,7,0.279263,0.029818,0.309081
8,8,0.279118,0.029522,0.308640
8,9,0.279047,0.029346,0.308394
8,10,0.279843,0.029311,0.309155
16,1,0.279369,0.034377,0.313746
16,2,0.297191,0.030354,0.327544
16,3,0.297369,0.034712,0.332081
16,4,0.279763,0.034495,0.314258
16,5,0.280111,0.034860,0.314971
16,6,0.297196,0.034770,0.331966
16,7,0.276321,0.032395,0.308716
16,8,0.307329,0.034227,0.341556
16,9,0.307840,0.035581,0.343421
16,10,0.307491,0.036234,0.343725
