Iteration,Interp,Move,Total
1,0.104128,0.025112,0.129240
2,0.104514,0.023953,0.128467
3,0.103069,0.023836,0.126905
4,0.102295,0.025447,0.127742
5,0.102422,0.025559,0.127981
6,0.105369,0.024007,0.129376
7,0.102239,0.024167,0.126406
8,0.102659,0.024129,0.126788
9,0.103044,0.024436,0.127480
10,0.102164,0.024275,0.126439
