Threads,Iter,Interp,Mover,Total
1,1,0.060949,0.084796,0.145745
1,2,0.060764,0.085211,0.145975
1,3,0.061169,0.083800,0.144969
1,4,0.060712,0.087392,0.148104
1,5,0.060900,0.083809,0.144709
1,6,0.061087,0.083884,0.144971
1,7,0.062005,0.083601,0.145606
1,8,0.060908,0.084217,0.145125
1,9,0.061965,0.084780,0.146745
1,10,0.066965,0.094045,0.161010
2,1,0.065481,0.046564,0.112045
2,2,0.063321,0.045115,0.108436
2,3,0.061170,0.042188,0.103358
2,4,0.060713,0.042158,0.102871
2,5,0.061199,0.042235,0.103434
2,6,0.061540,0.043539,0.105079
2,7,0.061031,0.044439,0.105470
2,8,0.064874,0.045864,0.110738
2,9,0.075367,0.047271,0.122638
2,10,0.061340,0.041987,0.103327
4,1,0.063585,0.025512,0.089097
4,2,0.072206,0.035454,0.107660
4,3,0.071228,0.032564,0.103792
4,4,0.067657,0.030587,0.098244
4,5,0.066075,0.025250,0.091325
4,6,0.063321,0.024021,0.087342
4,7,0.062596,0.024876,0.087472
4,8,0.062828,0.024178,0.087006
4,9,0.061150,0.024456,0.085606
4,10,0.062599,0.024351,0.086950
8,1,0.063024,0.024130,0.087154
8,2,0.063345,0.024143,0.087488
8,3,0.065206,0.024997,0.090203
8,4,0.067503,0.023928,0.091431
8,5,0.062921,0.024465,0.087386
8,6,0.063357,0.023860,0.087217
8,7,0.065809,0.028141,0.093950
8,8,0.064885,0.025570,0.090455
8,9,0.066145,0.026402,0.092547
8,10,0.063292,0.024608,0.087900
16,1,0.064026,0.026547,0.090573
16,2,0.062598,0.026868,0.089466
16,3,0.067412,0.026129,0.093541
16,4,0.066872,0.027145,0.094017
16,5,0.082842,0.029253,0.112095
16,6,0.064043,0.024835,0.088878
16,7,0.068837,0.025400,0.094237
16,8,0.066908,0.025019,0.091927
16,9,0.061132,0.024866,0.085998
16,10,0.061162,0.026112,0.087274
