Threads,Iter,Interp,Mover,Total
1,1,0.065294,0.085767,0.151061
1,2,0.065407,0.092772,0.158179
1,3,0.067922,0.090054,0.157976
1,4,0.065684,0.088243,0.153927
1,5,0.062368,0.084117,0.146485
1,6,0.072927,0.085441,0.158368
1,7,0.068829,0.090668,0.159497
1,8,0.067003,0.084356,0.151359
1,9,0.061463,0.083176,0.144639
1,10,0.061266,0.082947,0.144213
2,1,0.061484,0.043282,0.104766
2,2,0.061276,0.043033,0.104309
2,3,0.075866,0.046767,0.122633
2,4,0.071158,0.047701,0.118859
2,5,0.061552,0.043232,0.104784
2,6,0.061294,0.042841,0.104135
2,7,0.062238,0.043623,0.105861
2,8,0.064703,0.045678,0.110381
2,9,0.065802,0.045376,0.111178
2,10,0.061495,0.042345,0.103840
4,1,0.061799,0.025165,0.086964
4,2,0.064485,0.024959,0.089444
4,3,0.061785,0.024373,0.086158
4,4,0.062105,0.025399,0.087504
4,5,0.062828,0.024624,0.087452
4,6,0.061961,0.024304,0.086265
4,7,0.062966,0.027832,0.090798
4,8,0.061738,0.023959,0.085697
4,9,0.061946,0.025444,0.087390
4,10,0.065354,0.024014,0.089368
8,1,0.062347,0.025597,0.087944
8,2,0.063946,0.024730,0.088676
8,3,0.062709,0.024259,0.086968
8,4,0.063293,0.024162,0.087455
8,5,0.064283,0.025344,0.089627
8,6,0.062349,0.024598,0.086947
8,7,0.063560,0.024160,0.087720
8,8,0.066024,0.024387,0.090411
8,9,0.062336,0.025528,0.087864
8,10,0.067153,0.024855,0.092008
16,1,0.061130,0.024938,0.086068
16,2,0.061569,0.027614,0.089183
16,3,0.061118,0.025729,0.086847
16,4,0.062114,0.025397,0.087511
16,5,0.067836,0.025970,0.093806
16,6,0.061033,0.024773,0.085806
16,7,0.065261,0.026984,0.092245
16,8,0.061138,0.025713,0.086851
16,9,0.068427,0.025278,0.093705
16,10,0.064534,0.026218,0.090752
