Threads,Iter,Interp,Mover,Total
1,1,0.068508,0.094451,0.162959
1,2,0.062220,0.087252,0.149472
1,3,0.060874,0.087235,0.148108
1,4,0.062276,0.086775,0.149052
1,5,0.060643,0.086756,0.147399
1,6,0.061107,0.087419,0.148526
1,7,0.060845,0.086665,0.147509
1,8,0.061413,0.087693,0.149106
1,9,0.067879,0.095032,0.162910
1,10,0.068330,0.098024,0.166354
2,1,0.065874,0.046735,0.112609
2,2,0.064588,0.044104,0.108692
2,3,0.061151,0.045187,0.106338
2,4,0.065993,0.046882,0.112875
2,5,0.062763,0.045448,0.108211
2,6,0.064018,0.046249,0.110266
2,7,0.064476,0.048568,0.113044
2,8,0.063892,0.048274,0.112166
2,9,0.067951,0.048730,0.116681
2,10,0.061138,0.046514,0.107652
4,1,0.066512,0.041127,0.107639
4,2,0.081594,0.033076,0.114669
4,3,0.072592,0.030350,0.102942
4,4,0.066130,0.030523,0.096653
4,5,0.066248,0.026672,0.092920
4,6,0.063974,0.024524,0.088498
4,7,0.063189,0.025941,0.089130
4,8,0.061386,0.024789,0.086174
4,9,0.061855,0.025840,0.087696
4,10,0.061160,0.024451,0.085611
8,1,0.063187,0.024196,0.087384
8,2,0.062915,0.023944,0.086858
8,3,0.064038,0.024796,0.088834
8,4,0.063398,0.024396,0.087793
8,5,0.063389,0.024463,0.087852
8,6,0.066465,0.025202,0.091667
8,7,0.065794,0.026157,0.091952
8,8,0.065306,0.025182,0.090488
8,9,0.064947,0.025100,0.090048
8,10,0.063123,0.024275,0.087398
16,1,0.070265,0.025918,0.096183
16,2,0.064965,0.025932,0.090897
16,3,0.063757,0.026379,0.090136
16,4,0.064090,0.025998,0.090088
16,5,0.067059,0.028760,0.095819
16,6,0.061221,0.024774,0.085994
16,7,0.061249,0.024828,0.086077
16,8,0.061863,0.024959,0.086823
16,9,0.060782,0.025637,0.086419
16,10,0.062235,0.026046,0.088281
