Threads,Iter,Interp,Mover,Total
1,1,0.112684,0.088649,0.201333
1,2,0.105683,0.090251,0.195934
1,3,0.106686,0.089484,0.196170
1,4,0.110342,0.089404,0.199746
1,5,0.111701,0.088947,0.200649
1,6,0.106873,0.094455,0.201328
1,7,0.105920,0.089682,0.195602
1,8,0.106206,0.089198,0.195405
1,9,0.106875,0.101676,0.208551
1,10,0.106376,0.087936,0.194312
2,1,0.104789,0.045996,0.150784
2,2,0.110711,0.043492,0.154202
2,3,0.108695,0.043305,0.152000
2,4,0.105754,0.043029,0.148782
2,5,0.108522,0.043725,0.152247
2,6,0.104988,0.046790,0.151779
2,7,0.106674,0.051311,0.157985
2,8,0.107952,0.043912,0.151864
2,9,0.107131,0.047480,0.154610
2,10,0.105367,0.048078,0.153444
4,1,0.105779,0.025670,0.131449
4,2,0.106944,0.027121,0.134065
4,3,0.105345,0.024525,0.129870
4,4,0.105582,0.024165,0.129747
4,5,0.105921,0.024110,0.130032
4,6,0.105754,0.024451,0.130204
4,7,0.105468,0.024803,0.130270
4,8,0.106346,0.026189,0.132536
4,9,0.105297,0.024841,0.130138
4,10,0.107059,0.025344,0.132403
8,1,0.106155,0.024380,0.130535
8,2,0.106309,0.023644,0.129953
8,3,0.108645,0.024416,0.133062
8,4,0.106136,0.024781,0.130917
8,5,0.106389,0.024697,0.131087
8,6,0.106089,0.024356,0.130445
8,7,0.106247,0.024339,0.130586
8,8,0.106387,0.024425,0.130812
8,9,0.106953,0.024174,0.131127
8,10,0.105959,0.024363,0.130322
16,1,0.104823,0.024912,0.129735
16,2,0.107899,0.024914,0.132813
16,3,0.105046,0.025028,0.130073
16,4,0.102720,0.024963,0.127684
16,5,0.103589,0.025863,0.129452
16,6,0.104751,0.025891,0.130642
16,7,0.105801,0.025181,0.130981
16,8,0.103262,0.025856,0.129118
16,9,0.105884,0.025097,0.130980
16,10,0.105064,0.025683,0.130747
