ProblemSize,MeanAlgoTime,MeanMFLOPS
4,0.000000305,472.97
8,0.000000651,1682.25
16,0.000004240,2063.95
32,0.000032958,2129.25
64,0.000320907,1742.22
128,0.002809929,1605.23
256,0.022514290,1540.13
512,0.195475985,1395.02
1024,1.751309637,1230.58
2048,89.129096989,215.52
4096,1310.533919078,104.87
