ProblemSize,MeanAlgoTime,MeanMFLOPS
4,0.000000294,473.73
8,0.000000818,1338.27
16,0.000005293,1658.33
32,0.000040942,1698.63
64,0.000393047,1547.15
128,0.003437414,1283.28
256,0.034429780,990.23
512,1.134601922,236.59
1024,14.738866856,212.65
2048,128.653799666,241.21
4096,1059.309154725,182.01
