ProblemSize,MeanAlgoTime,MeanMFLOPS
4,0.000000275,498.24
8,0.000000618,1770.40
16,0.000003656,2399.45
32,0.000026706,2629.68
64,0.000262122,2126.94
128,0.001983950,2279.25
256,0.013563335,2518.92
512,0.098085427,2749.89
1024,0.750538139,2861.65
2048,7.938566555,2164.28
4096,62.408959270,2202.31
