ProblemSize,MeanAlgoTime,MeanMFLOPS
4,0.000000289,470.58
8,0.000000844,1289.44
16,0.000005484,1628.70
32,0.000041494,1687.70
64,0.000387547,1438.37
128,0.003535611,1255.18
256,0.034289597,993.27
512,1.153635222,232.88
1024,18.198952316,118.00
2048,168.529805953,162.97
4096,1768.903931107,81.99
