ProblemSize,AvgAlgoTime,AvgMFLOPS
4,0.000000264,495.14
8,0.000000508,2020.78
16,0.000005326,2328.64
32,0.000024588,2667.44
64,0.000229051,2290.63
128,0.002022089,2075.85
256,0.017404493,1929.35
512,0.143424142,1872.94
1024,1.210935629,1774.98
2048,10.481694582,1651.97
4096,78.728250021,1746.63
