ProblemSize,MeanAlgoTime,MeanMFLOPS
4,0.000000288,469.01
8,0.000000694,1573.86
16,0.000003873,2266.96
32,0.000030792,2306.26
64,0.000259628,2160.42
128,0.001919558,2321.93
256,0.013893841,2453.55
512,0.097279617,2759.77
1024,0.763662312,2812.14
2048,8.790695340,1954.40
4096,67.390150239,2015.76
