Threads,Iter,Interp,Mover,Total
1,1,0.292051,0.214755,0.506806
1,2,0.292750,0.214694,0.507444
1,3,0.292237,0.214930,0.507167
1,4,0.292345,0.215583,0.507928
1,5,0.292687,0.214885,0.507572
1,6,0.292356,0.215453,0.507808
1,7,0.292139,0.214776,0.506915
1,8,0.292336,0.215040,0.507376
1,9,0.295781,0.217769,0.513550
1,10,0.294941,0.217861,0.512802
2,1,0.295987,0.143460,0.439447
2,2,0.295127,0.124493,0.419620
2,3,0.295205,0.124224,0.419429
2,4,0.295330,0.124874,0.420204
2,5,0.296533,0.124327,0.420860
2,6,0.296192,0.124188,0.420380
2,7,0.295315,0.124325,0.419640
2,8,0.295286,0.124222,0.419508
2,9,0.296127,0.125382,0.421510
2,10,0.296974,0.124277,0.421251
4,1,0.294944,0.076378,0.371322
4,2,0.295516,0.076097,0.371613
4,3,0.295067,0.075981,0.371048
4,4,0.295239,0.076238,0.371477
4,5,0.295815,0.076134,0.371950
4,6,0.295288,0.076130,0.371418
4,7,0.294993,0.076325,0.371318
4,8,0.320068,0.087877,0.407945
4,9,0.320566,0.088262,0.408828
4,10,0.320282,0.087877,0.408159
8,1,0.294311,0.053175,0.347486
8,2,0.294284,0.053127,0.347411
8,3,0.294291,0.053371,0.347662
8,4,0.294082,0.052977,0.347058
8,5,0.294441,0.053082,0.347523
8,6,0.294435,0.052895,0.347330
8,7,0.295302,0.053008,0.348310
8,8,0.294744,0.052983,0.347727
8,9,0.294168,0.052857,0.347025
8,10,0.294305,0.053032,0.347337
16,1,0.294116,0.058353,0.352469
16,2,0.294080,0.061669,0.355749
16,3,0.295152,0.076450,0.371601
16,4,0.292394,0.099456,0.391850
16,5,0.295789,0.058547,0.354336
16,6,0.320399,0.073780,0.394179
16,7,0.293273,0.058862,0.352136
16,8,0.292666,0.053574,0.346240
16,9,0.292418,0.058884,0.351302
16,10,0.292210,0.060341,0.352551
