Threads,Iter,Interp,Mover,Total
1,1,0.295947,0.213919,0.509866
1,2,0.296022,0.214173,0.510195
1,3,0.295845,0.213825,0.509670
1,4,0.295890,0.214096,0.509986
1,5,0.295498,0.213831,0.509329
1,6,0.295674,0.214692,0.510366
1,7,0.295431,0.214165,0.509595
1,8,0.295441,0.214320,0.509762
1,9,0.295767,0.214082,0.509849
1,10,0.295437,0.213840,0.509277
2,1,0.295510,0.117437,0.412947
2,2,0.295811,0.116555,0.412366
2,3,0.295881,0.116539,0.412420
2,4,0.295700,0.116497,0.412197
2,5,0.295816,0.117317,0.413133
2,6,0.295867,0.116416,0.412284
2,7,0.295321,0.116629,0.411950
2,8,0.295423,0.116696,0.412119
2,9,0.298438,0.123532,0.421970
2,10,0.298413,0.124541,0.422955
4,1,0.298886,0.075539,0.374425
4,2,0.298504,0.075522,0.374026
4,3,0.298371,0.075494,0.373865
4,4,0.298397,0.075535,0.373932
4,5,0.298671,0.086852,0.385523
4,6,0.299873,0.075711,0.375585
4,7,0.299661,0.075785,0.375446
4,8,0.299945,0.075781,0.375726
4,9,0.299682,0.075743,0.375425
4,10,0.299815,0.076066,0.375881
8,1,0.300825,0.055367,0.356192
8,2,0.300952,0.055132,0.356084
8,3,0.300843,0.055308,0.356151
8,4,0.300829,0.055413,0.356242
8,5,0.301262,0.055354,0.356616
8,6,0.301209,0.055238,0.356446
8,7,0.301199,0.055325,0.356524
8,8,0.301218,0.055411,0.356629
8,9,0.301055,0.055369,0.356423
8,10,0.301147,0.055207,0.356354
16,1,0.300106,0.058060,0.358166
16,2,0.299855,0.061452,0.361306
16,3,0.371262,0.073019,0.444280
16,4,0.374686,0.075147,0.449833
16,5,0.300186,0.061358,0.361544
16,6,0.339744,0.073255,0.412999
16,7,0.376067,0.073617,0.449684
16,8,0.373250,0.075297,0.448547
16,9,0.300494,0.061841,0.362334
16,10,0.300402,0.061447,0.361848
