config,NX,NY,particles,interp_time,mover_time,total_time,PPC,per_particle_time
1,250,100,100,2.065169992420e-04,6.761699842173e-05,2.741339976637e-04,4.000000000000e-03,2.741339976637e-06
1,250,100,10000,8.890339977370e-04,4.062026998326e-03,4.951060996063e-03,4.000000000000e-01,4.951060996063e-07
1,250,100,1000000,4.880392800078e-02,2.606294800007e-01,3.094334080015e-01,4.000000000000e+01,3.094334080015e-07
1,250,100,100000000,4.641389785003e+00,2.572900308200e+01,3.037039286700e+01,4.000000000000e+03,3.037039286700e-07
1,250,100,1000000000,3.197702660020e+02,8.031491632860e+02,1.122919429288e+03,4.000000000000e+04,1.122919429288e-06
