config,NX,NY,particles,interp_time,mover_time,total_time,PPC,per_particle_time
3,1000,400,100,8.977670013337e-04,2.747700182226e-05,9.252440031560e-04,2.500000000000e-04,9.252440031560e-06
3,1000,400,10000,1.551024001856e-03,2.675058000932e-03,4.226082002788e-03,2.500000000000e-02,4.226082002788e-07
3,1000,400,1000000,8.411765500114e-02,2.720876049989e-01,3.562052600000e-01,2.500000000000e+00,3.562052600000e-07
3,1000,400,100000000,7.439262867998e+00,2.471591119900e+01,3.215517406700e+01,2.500000000000e+02,3.215517406700e-07
3,1000,400,1000000000,3.352457040820e+02,8.160792247740e+02,1.151324928856e+03,2.500000000000e+03,1.151324928856e-06
