config,NX,NY,particles,interp_time,mover_time,total_time,PPC,per_particle_time
2,500,200,100,2.770179989966e-04,2.606399993965e-05,3.030819989362e-04,1.000000000000e-03,3.030819989362e-06
2,500,200,10000,6.148079992272e-04,2.648902999681e-03,3.263710998908e-03,1.000000000000e-01,3.263710998908e-07
2,500,200,1000000,5.486117500004e-02,2.858248549992e-01,3.406860299992e-01,1.000000000000e+01,3.406860299992e-07
2,500,200,100000000,4.500832801001e+00,2.437900539100e+01,2.887983819200e+01,1.000000000000e+03,2.887983819200e-07
2,500,200,1000000000,2.664349264460e+02,6.458334638360e+02,9.122683902820e+02,1.000000000000e+04,9.122683902820e-07
