Iteration,Interp,Move,Total
1,0.102595,0.083567,0.186163
2,0.102036,0.083222,0.185258
3,0.102453,0.083012,0.185466
4,0.102946,0.087220,0.190166
5,0.102026,0.083551,0.185576
6,0.102083,0.082975,0.185058
7,0.102091,0.083024,0.185115
8,0.103853,0.083410,0.187263
9,0.103144,0.085130,0.188275
10,0.107138,0.083320,0.190459
