config,NX,NY,particles,interp_time,mover_time,total_time,PPC,per_particle_time
1,250,100,100,1.731961965561e-04,1.493096351624e-05,1.881271600723e-04,4.000000000000e-03,1.881271600723e-06
1,250,100,10000,2.190276980400e-03,1.267194747925e-03,3.457471728325e-03,4.000000000000e-01,3.457471728325e-07
1,250,100,1000000,2.008110284805e-01,1.220170706511e-01,3.228280991316e-01,4.000000000000e+01,3.228280991316e-07
1,250,100,100000000,2.004392923415e+01,1.214626322687e+01,3.219019246101e+01,4.000000000000e+03,3.219019246101e-07
1,250,100,1000000000,2.000777605623e+02,1.234335162640e+02,3.235112768263e+02,4.000000000000e+04,3.235112768263e-07
