config,NX,NY,particles,interp_time,mover_time,total_time,PPC,per_particle_time
3,1000,400,100,2.718940377235e-03,1.293420791626e-05,2.731874585152e-03,2.500000000000e-04,2.731874585152e-05
3,1000,400,10000,7.149875164032e-03,1.203611493111e-03,8.353486657143e-03,2.500000000000e-02,8.353486657143e-07
3,1000,400,1000000,2.282796353102e-01,1.197478622198e-01,3.480274975300e-01,2.500000000000e+00,3.480274975300e-07
3,1000,400,100000000,2.295346255600e+01,1.223699489236e+01,3.519045744836e+01,2.500000000000e+02,3.519045744836e-07
3,1000,400,1000000000,2.428889291435e+02,1.239800987542e+02,3.668690278977e+02,2.500000000000e+03,3.668690278977e-07
