config,NX,NY,particles,interp_time,mover_time,total_time,PPC,per_particle_time
2,500,200,100,5.329698324203e-04,1.382827758789e-05,5.467981100082e-04,1.000000000000e-03,5.467981100082e-06
2,500,200,10000,2.483502030373e-03,1.254186034203e-03,3.737688064575e-03,1.000000000000e-01,3.737688064575e-07
2,500,200,1000000,2.135563939810e-01,1.206263750792e-01,3.341827690601e-01,1.000000000000e+01,3.341827690601e-07
2,500,200,100000000,2.282404011488e+01,1.275803317130e+01,3.558207328618e+01,1.000000000000e+03,3.558207328618e-07
2,500,200,1000000000,2.262955734730e+02,1.254909547120e+02,3.517865281850e+02,1.000000000000e+04,3.517865281850e-07
