config,NX,NY,particles,interp_time,mover_time,total_time,PPC,per_particle_time
3,1000,400,100,1.741141080856e-03,2.542138099670e-05,1.766562461853e-03,2.500000000000e-04,1.766562461853e-05
3,1000,400,10000,5.522534251213e-03,2.621591091156e-03,8.144125342369e-03,2.500000000000e-02,8.144125342369e-07
3,1000,400,1000000,2.238540351391e-01,2.660646587610e-01,4.899186939001e-01,2.500000000000e+00,4.899186939001e-07
3,1000,400,100000000,2.154788586497e+01,2.673652298748e+01,4.828440885246e+01,2.500000000000e+02,4.828440885246e-07
3,1000,400,1000000000,2.377627017349e+02,3.026738419533e+02,5.404365436882e+02,2.500000000000e+03,5.404365436882e-07
