config,NX,NY,particles,interp_time,mover_time,total_time,PPC,per_particle_time
2,500,200,100,5.088448524475e-04,2.606213092804e-05,5.349069833755e-04,1.000000000000e-03,5.349069833755e-06
2,500,200,10000,2.422511577606e-03,2.596110105515e-03,5.018621683121e-03,1.000000000000e-01,5.018621683121e-07
2,500,200,1000000,2.116491496563e-01,2.672427147627e-01,4.788918644190e-01,1.000000000000e+01,4.788918644190e-07
2,500,200,100000000,2.108235731721e+01,2.671392932534e+01,4.779628664255e+01,1.000000000000e+03,4.779628664255e-07
2,500,200,1000000000,2.262354362160e+02,3.066198770851e+02,5.328553133011e+02,1.000000000000e+04,5.328553133011e-07
