config,NX,NY,particles,interp_time,mover_time,total_time,PPC,per_particle_time
1,250,100,100,1.708269119263e-04,2.744793891907e-05,1.982748508453e-04,4.000000000000e-03,1.982748508453e-06
1,250,100,10000,2.118080854416e-03,2.593606710434e-03,4.711687564850e-03,4.000000000000e-01,4.711687564850e-07
1,250,100,1000000,1.981487423182e-01,2.650019377470e-01,4.631506800652e-01,4.000000000000e+01,4.631506800652e-07
1,250,100,100000000,2.162439745665e+01,2.927202573419e+01,5.089642319083e+01,4.000000000000e+03,5.089642319083e-07
1,250,100,1000000000,2.060584537089e+02,3.042859306931e+02,5.103443844020e+02,4.000000000000e+04,5.103443844020e-07
