NX,NY,Points,Iterations,Threads,Avg_Time_Serial(s),Avg_Time_Parallel(s),Speedup
1000,400,14000000,10,2,0.342734,0.200489,1.7095
1000,400,14000000,10,4,0.342734,0.156115,2.1954
1000,400,14000000,10,8,0.342734,0.134405,2.5500
1000,400,14000000,10,16,0.342734,0.137935,2.4848
