NX,NY,Points,Iterations,Threads,Avg_Time_Serial(s),Avg_Time_Parallel(s),Speedup
250,100,900000,10,2,0.019715,0.010930,1.8037
250,100,900000,10,4,0.019715,0.005954,3.3112
250,100,900000,10,8,0.019715,0.003812,5.1721
250,100,900000,10,16,0.019715,0.007125,2.7669
