ProblemSize,AvgAlgoTime,AvgMFLOPS
4,0.000000288,444.53
8,0.000000968,1058.61
16,0.000007139,1149.48
32,0.000054092,1214.68
64,0.000448277,1171.01
128,0.003935437,1080.68
256,0.034373663,979.71
512,0.237464370,1130.44
1024,1.911197510,1123.75
2048,15.663829006,1096.80
4096,125.540088879,1094.79
