ProblemSize,MeanAlgoTime,MeanMFLOPS
4,0.000000238,545.13
8,0.000000425,2418.17
16,0.000001738,4716.92
32,0.000018958,3499.24
64,0.000127621,4121.22
128,0.000959774,4377.47
256,0.010238334,3299.66
512,0.085082370,3157.98
1024,1.000091186,2153.88
2048,15.672608322,1098.10
4096,184.338698474,746.06
