ProblemSize,MeanAlgoTime,MeanMFLOPS
4,0.000000189,692.10
8,0.000000409,2503.09
16,0.000002379,3455.14
32,0.000020189,3280.15
64,0.000165342,3181.93
128,0.001309758,3205.79
256,0.014640153,2296.08
512,0.244694413,1097.25
1024,2.487599960,864.45
2048,60.715412064,283.06
4096,574.549626988,239.25
