ProblemSize,MeanAlgoTime,MeanMFLOPS
4,0.000000182,707.69
8,0.000000395,2602.49
16,0.000002481,3414.91
32,0.000018660,3594.81
64,0.000161179,3386.45
128,0.000913951,4599.37
256,0.009859829,3411.31
512,0.079575025,3380.73
1024,0.841983628,2553.86
2048,10.281788036,1673.15
4096,169.244373951,812.26
