ProblemSize,MeanAlgoTime,MeanMFLOPS
4,0.000000181,712.18
8,0.000000324,3194.25
16,0.000001090,7523.28
32,0.000007199,9162.27
64,0.000044550,11844.69
128,0.000407993,10285.75
256,0.003398396,9961.46
512,0.044721415,6008.62
1024,0.336389163,6404.05
2048,6.619466611,2633.53
4096,61.416653812,2239.68
