ProblemSize,MeanAlgoTime,MeanMFLOPS
4,0.000000195,665.92
8,0.000000335,3079.51
16,0.000001059,7735.31
32,0.000007052,9389.05
64,0.000054262,10009.43
128,0.000392103,10760.45
256,0.003329477,10113.01
512,0.026868252,9996.72
1024,0.215554574,9995.28
2048,4.035870282,4265.95
4096,34.249480330,4014.36
