ProblemSize,MeanAlgoTime,MeanMFLOPS
4,0.000000209,620.19
8,0.000000419,2449.73
16,0.000002322,3528.81
32,0.000016946,3868.75
64,0.000177497,3040.39
128,0.001354833,3097.09
256,0.014723981,2287.37
512,0.157713166,1705.50
1024,2.325092644,924.12
2048,61.417055281,279.89
4096,581.027848627,236.61
