config,machine,threads,interpolation_time_s,normalization_time_s,mover_time_s,denormalization_time_s,algorithm_time_s,total_number_of_voids
5,cluster,1,7.952469,0.032198,11.154418,0.012807,19.151892,1
5,cluster,2,4.613962,0.016506,6.119543,0.007542,10.757552,1
5,cluster,4,2.984957,0.009484,4.6004,0.006481,7.601323,1
5,cluster,8,1.995386,0.00529,1.505352,0.003314,3.509342,1
5,cluster,16,1.622349,0.008598,0.692221,0.00978,2.332948,1
