Threads,Iter,Interp,Mover,Total
1,1,0.066867,0.100613,0.167479
1,2,0.067960,0.101253,0.169213
1,3,0.072803,0.117633,0.190436
1,4,0.069455,0.108120,0.177575
1,5,0.064316,0.101941,0.166257
1,6,0.070268,0.107414,0.177681
1,7,0.067990,0.103969,0.171960
1,8,0.064431,0.113657,0.178088
1,9,0.072479,0.103389,0.175868
1,10,0.064454,0.101380,0.165833
2,1,0.061436,0.059913,0.121349
2,2,0.066150,0.060296,0.126445
2,3,0.065417,0.057179,0.122596
2,4,0.069209,0.063657,0.132866
2,5,0.065549,0.058435,0.123984
2,6,0.064015,0.057147,0.121163
2,7,0.068735,0.060687,0.129423
2,8,0.065056,0.062161,0.127217
2,9,0.068195,0.061000,0.129195
2,10,0.069493,0.059382,0.128875
4,1,0.061524,0.037959,0.099482
4,2,0.064217,0.038064,0.102281
4,3,0.065035,0.037909,0.102944
4,4,0.064387,0.038605,0.102992
4,5,0.063606,0.040920,0.104526
4,6,0.067626,0.039536,0.107162
4,7,0.064347,0.043061,0.107408
4,8,0.064931,0.039239,0.104170
4,9,0.064039,0.038442,0.102481
4,10,0.066051,0.038407,0.104458
8,1,0.061608,0.038243,0.099851
8,2,0.063773,0.037945,0.101718
8,3,0.067893,0.041934,0.109828
8,4,0.065674,0.041713,0.107387
8,5,0.063383,0.038930,0.102313
8,6,0.064048,0.038368,0.102417
8,7,0.064219,0.041205,0.105424
8,8,0.064691,0.040919,0.105610
8,9,0.064266,0.038084,0.102349
8,10,0.063670,0.038524,0.102194
16,1,0.061883,0.038444,0.100327
16,2,0.063822,0.039369,0.103191
16,3,0.063294,0.038185,0.101479
16,4,0.063820,0.038807,0.102628
16,5,0.065190,0.042854,0.108045
16,6,0.065133,0.038376,0.103509
16,7,0.063805,0.038368,0.102173
16,8,0.064607,0.039039,0.103645
16,9,0.065951,0.042150,0.108102
16,10,0.066043,0.039914,0.105958
