Threads,Iter,Interp,Mover,Total
1,1,0.063612,0.102042,0.165653
1,2,0.067510,0.103328,0.170838
1,3,0.066697,0.103693,0.170390
1,4,0.067572,0.106022,0.173594
1,5,0.066362,0.102317,0.168679
1,6,0.066204,0.102879,0.169083
1,7,0.065721,0.102730,0.168451
1,8,0.065153,0.102713,0.167866
1,9,0.067728,0.108070,0.175798
1,10,0.068719,0.111371,0.180089
2,1,0.068305,0.063791,0.132096
2,2,0.065891,0.060410,0.126301
2,3,0.063809,0.059547,0.123356
2,4,0.065023,0.058167,0.123190
2,5,0.064738,0.058843,0.123581
2,6,0.064382,0.058947,0.123330
2,7,0.064789,0.059099,0.123888
2,8,0.066509,0.058484,0.124993
2,9,0.065414,0.062928,0.128342
2,10,0.064727,0.059873,0.124600
4,1,0.061697,0.039591,0.101288
4,2,0.070910,0.051388,0.122298
4,3,0.073179,0.049787,0.122965
4,4,0.071681,0.051332,0.123012
4,5,0.069071,0.041457,0.110528
4,6,0.064363,0.039127,0.103490
4,7,0.073956,0.038475,0.112431
4,8,0.065491,0.039256,0.104747
4,9,0.065985,0.038614,0.104600
4,10,0.065755,0.039037,0.104792
8,1,0.060750,0.039202,0.099952
8,2,0.064504,0.039935,0.104439
8,3,0.065473,0.039119,0.104593
8,4,0.064580,0.039050,0.103630
8,5,0.065681,0.038926,0.104607
8,6,0.066511,0.039950,0.106461
8,7,0.070283,0.041460,0.111743
8,8,0.066439,0.041067,0.107506
8,9,0.068432,0.040889,0.109321
8,10,0.065272,0.039355,0.104627
16,1,0.067861,0.042305,0.110167
16,2,0.065253,0.038906,0.104159
16,3,0.069979,0.046069,0.116047
16,4,0.067846,0.043662,0.111507
16,5,0.068248,0.041367,0.109615
16,6,0.069917,0.049681,0.119597
16,7,0.064527,0.041257,0.105784
16,8,0.063537,0.040641,0.104178
16,9,0.064373,0.040233,0.104606
16,10,0.068471,0.040661,0.109132
