Threads,Iter,Interp,Mover,Total
1,1,0.292722,0.167160,0.459882
1,2,0.292183,0.166757,0.458940
1,3,0.292317,0.166772,0.459089
1,4,0.292293,0.166414,0.458707
1,5,0.292242,0.167235,0.459477
1,6,0.291900,0.166458,0.458358
1,7,0.292187,0.166617,0.458804
1,8,0.292574,0.166163,0.458737
1,9,0.295046,0.167824,0.462870
1,10,0.296294,0.167581,0.463875
2,1,0.295035,0.089491,0.384526
2,2,0.295146,0.089959,0.385105
2,3,0.296267,0.089158,0.385425
2,4,0.294952,0.089097,0.384049
2,5,0.295133,0.089129,0.384262
2,6,0.295105,0.088987,0.384092
2,7,0.294917,0.090007,0.384924
2,8,0.296215,0.089148,0.385363
2,9,0.295419,0.089053,0.384472
2,10,0.295146,0.089069,0.384215
4,1,0.295033,0.047309,0.342342
4,2,0.294987,0.046593,0.341580
4,3,0.295432,0.046393,0.341825
4,4,0.294808,0.047004,0.341812
4,5,0.295705,0.046632,0.342337
4,6,0.296774,0.046779,0.343553
4,7,0.296556,0.046267,0.342823
4,8,0.320264,0.046309,0.366573
4,9,0.320196,0.046278,0.366474
4,10,0.320315,0.046365,0.366680
8,1,0.295096,0.028529,0.323625
8,2,0.294375,0.028699,0.323074
8,3,0.294691,0.028544,0.323235
8,4,0.294008,0.028744,0.322752
8,5,0.294361,0.028461,0.322822
8,6,0.294196,0.028447,0.322643
8,7,0.294850,0.028416,0.323266
8,8,0.294537,0.028459,0.322996
8,9,0.294562,0.028522,0.323084
8,10,0.294314,0.028391,0.322705
16,1,0.294097,0.035255,0.329352
16,2,0.294339,0.033689,0.328028
16,3,0.315775,0.030877,0.346652
16,4,0.292263,0.031860,0.324123
16,5,0.320544,0.033828,0.354372
16,6,0.309195,0.033052,0.342247
16,7,0.292882,0.031676,0.324558
16,8,0.292889,0.031878,0.324767
16,9,0.292447,0.033798,0.326245
16,10,0.292483,0.031206,0.323689
