Threads,Iter,Interp,Mover,Total
1,1,0.295708,0.182156,0.477864
1,2,0.296436,0.180348,0.476784
1,3,0.296746,0.181389,0.478135
1,4,0.295691,0.180154,0.475845
1,5,0.295836,0.174403,0.470239
1,6,0.279690,0.169136,0.448826
1,7,0.278550,0.169238,0.447788
1,8,0.279722,0.168514,0.448236
1,9,0.278318,0.168831,0.447149
1,10,0.279579,0.169827,0.449406
2,1,0.278364,0.090638,0.369002
2,2,0.278306,0.090016,0.368322
2,3,0.278426,0.089708,0.368134
2,4,0.278348,0.090031,0.368379
2,5,0.280024,0.089688,0.369712
2,6,0.279040,0.089433,0.368473
2,7,0.278099,0.089823,0.367922
2,8,0.278496,0.089430,0.367926
2,9,0.278644,0.089252,0.367896
2,10,0.278346,0.089332,0.367678
4,1,0.279770,0.047134,0.326904
4,2,0.279723,0.046845,0.326568
4,3,0.279547,0.046920,0.326467
4,4,0.279878,0.046758,0.326636
4,5,0.279924,0.046720,0.326644
4,6,0.279506,0.046849,0.326355
4,7,0.280104,0.046486,0.326590
4,8,0.279730,0.046471,0.326201
4,9,0.279950,0.046556,0.326506
4,10,0.280102,0.046444,0.326546
8,1,0.279590,0.030871,0.310461
8,2,0.280202,0.030971,0.311173
8,3,0.279757,0.030926,0.310683
8,4,0.282136,0.030788,0.312924
8,5,0.279652,0.031138,0.310790
8,6,0.278594,0.026794,0.305388
8,7,0.278329,0.026476,0.304805
8,8,0.278524,0.026257,0.304781
8,9,0.278351,0.026459,0.304810
8,10,0.278392,0.026407,0.304799
16,1,0.278274,0.033160,0.311434
16,2,0.298024,0.033554,0.331578
16,3,0.297222,0.033781,0.331003
16,4,0.297293,0.034612,0.331905
16,5,0.278556,0.033629,0.312185
16,6,0.297131,0.035265,0.332396
16,7,0.296177,0.032076,0.328253
16,8,0.307588,0.035120,0.342708
16,9,0.307362,0.033477,0.340839
16,10,0.307794,0.033116,0.340910
