mpi,omp,interp,reduce,broadcast,norm,mover,denorm,total
1,2,7.902325,0.017602,0.000017,0.026861,9.982532,0.025423,17.959662
2,1,4.373315,0.030550,0.023428,0.067216,5.818555,0.021941,10.339030
1,4,8.197693,0.004472,0.000017,0.051164,9.974203,0.025263,18.269586
2,2,4.105918,0.251716,0.048741,0.052997,5.547090,0.029123,10.039824
4,1,2.140731,0.803440,0.116605,0.054366,2.755966,0.027877,5.904219
1,8,8.152145,0.005157,0.000016,0.038626,10.808445,0.012058,19.019871
2,4,3.955579,0.278784,0.037085,0.026865,5.272116,0.050772,9.640074
4,2,2.307986,0.380466,0.076158,0.038198,2.795483,0.022215,5.624463
8,1,1.271614,1.753613,0.109954,0.054313,1.784542,0.026869,5.022366
1,16,8.240313,0.005066,0.000017,0.043050,11.141119,0.019494,19.452564
2,8,3.855937,0.035869,0.019960,0.031531,5.357463,0.018208,9.324379
4,4,2.063590,0.159059,0.023106,0.038728,2.869069,0.036189,5.202348
8,2,1.150851,0.191685,0.015232,0.054333,1.788831,0.018861,3.239909
16,1,0.745449,0.494658,0.068861,0.059860,1.139986,0.016284,2.560903
1,32,7.930230,0.004901,0.000013,0.070937,10.153960,0.024248,18.189357
2,16,3.866327,0.344710,0.007931,0.054059,5.173959,0.045547,9.540814
4,8,1.925206,0.453445,0.019812,0.039623,2.352417,0.030872,4.826264
8,4,0.948884,1.251147,0.120568,0.036141,1.187227,0.036285,3.599622
16,2,0.691937,0.341172,0.031250,0.038746,0.727844,0.015205,1.880528
32,1,0.366688,2.230414,0.308358,0.034000,0.370562,0.018952,3.401393
1,64,4.043024,0.004843,0.000008,0.026546,5.140427,0.012055,9.231259
2,32,2.150821,0.019677,0.008218,0.027022,2.695372,0.012077,4.916953
4,16,1.033017,0.092617,0.010518,0.026883,1.293210,0.012061,2.471999
8,8,0.635532,0.113641,0.015530,0.030176,0.827482,0.013456,1.643582
16,4,0.669400,0.326332,0.031801,0.034465,0.727202,0.014947,1.834125
32,2,0.383082,1.575140,0.220285,0.033690,0.392602,0.015999,2.689763
64,1,0.202816,1.717190,0.368087,0.033966,0.174809,0.015568,2.567142
